# Force coefficients
# liftDir         : (-1.7364796312e-01 0.0000000000e+00 9.8480779084e-01)
# dragDir         : (9.8480779084e-01 0.0000000000e+00 1.7364796312e-01)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.2159694500e+01
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
46                	-5.4567599283e-02	1.0206456757e-01	7.9515206001e-01	3.4300843072e-01	4.5214362929e-01
47                	-5.8468570971e-02	1.0426470316e-01	8.1058084814e-01	3.4682185310e-01	4.6375899504e-01
48                	-6.4410676515e-02	1.1019360293e-01	8.2252381902e-01	3.4685123299e-01	4.7567258602e-01
49                	-6.9765283842e-02	1.1543993913e-01	8.3449297383e-01	3.4748120307e-01	4.8701177076e-01
50                	-7.6728669626e-02	1.2020384260e-01	8.4449241361e-01	3.4551753718e-01	4.9897487643e-01
51                	-8.4114207588e-02	1.2270855072e-01	8.6147237742e-01	3.4662198112e-01	5.1485039630e-01
52                	-9.1815711896e-02	1.2359773998e-01	8.7930324381e-01	3.4783591001e-01	5.3146733380e-01
53                	-1.0092388499e-01	1.2588666240e-01	9.0138984704e-01	3.4977103853e-01	5.5161880851e-01
54                	-1.0978000045e-01	1.2911576036e-01	9.1850178074e-01	3.4947088993e-01	5.6903089082e-01
55                	-1.1718057039e-01	1.3317250377e-01	9.3368142830e-01	3.4966014376e-01	5.8402128454e-01
56                	-1.2474506316e-01	1.3847962115e-01	9.4850466201e-01	3.4950726785e-01	5.9899739416e-01
57                	-1.3133140122e-01	1.4254049666e-01	9.6197503059e-01	3.4965611408e-01	6.1231891651e-01
58                	-1.3735972334e-01	1.4505773613e-01	9.7675575103e-01	3.5101815218e-01	6.2573759886e-01
59                	-1.4494392140e-01	1.4769737807e-01	9.9339326066e-01	3.5175270893e-01	6.4164055173e-01
60                	-1.5172694234e-01	1.4949983685e-01	1.0075511564e+00	3.5204863587e-01	6.5550252056e-01
61                	-1.5555171688e-01	1.5004324183e-01	1.0198278388e+00	3.5436220253e-01	6.6546563629e-01
